"avatarThumbnail","cid","createTime","createTimeISO","detailedMentions/0/nickName","detailedMentions/0/profileUrl","detailedMentions/0/secUid","detailedMentions/0/userId","detailedMentions/1/nickName","detailedMentions/1/profileUrl","detailedMentions/1/secUid","detailedMentions/1/userId","diggCount","input","likedByAuthor","mentions/0","mentions/1","pinnedByAuthor","repliesToId","replyCommentTotal","submittedVideoUrl","text","uid","uniqueId","videoWebUrl"
"https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/35183dae24f1b3ad1fca9d03ec2914f2~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d3339c43&x-expires=1771329600&x-signature=o6tMUaSE9Ctf2oBadR4rgnOhKG8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7359748088791155462","1713574897","2024-04-20T01:01:37.000Z",,,,,,,,,"0","https://www.tiktok.com/@nachter/video/7357337111676079392?_r=1&_t=ZN-93r9JxE2rN0","false",,,"false",,"0","https://www.tiktok.com/@nachter/video/7357337111676079392?_r=1&_t=ZN-93r9JxE2rN0","Los del 2010 ni siquiera pueden donar","7246602489532924934","_vicky.p_10","https://www.tiktok.com/@nachter/video/7357337111676079392"
"https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/1faadb2e4bd2b9050de1b77cb7c07725~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=15987524&x-expires=1771329600&x-signature=xryU%2BhMJrFL7g%2BKtyFQtZukBcGM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7359261263762293510","1713461553","2024-04-18T17:32:33.000Z",,,,,,,,,"0","https://www.tiktok.com/@nachter/video/7357337111676079392?_r=1&_t=ZN-93r9JxE2rN0","false",,,"false",,"0","https://www.tiktok.com/@nachter/video/7357337111676079392?_r=1&_t=ZN-93r9JxE2rN0","🗣🗣🗣SKIBIDI DOB DOB YES","7033114282146677766",".luis_1910","https://www.tiktok.com/@nachter/video/7357337111676079392"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/5e8c3573dd7b5838b6bb3380c930fde4~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9a24069a&x-expires=1771329600&x-signature=L%2FRt7iLoP9ZBSbo3mMJT4nHePkM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7546828209142317842","1757132881","2025-09-06T04:28:01.000Z",,,,,,,,,"0","https://www.tiktok.com/@nachter/video/7357337111676079392?_r=1&_t=ZN-93r9JxE2rN0","false",,,"false",,"0","https://www.tiktok.com/@nachter/video/7357337111676079392?_r=1&_t=ZN-93r9JxE2rN0","del 97 , y si 😅","7414600863350686725","ericamorales1010","https://www.tiktok.com/@nachter/video/7357337111676079392"
"https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/a96273f8a1534c838ede1176ef246e6d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9f2a9c21&x-expires=1771329600&x-signature=39Rbts41hpeteUizg8MzByRjV50%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7364707907692413728","1714729715","2024-05-03T09:48:35.000Z",,,,,,,,,"0","https://www.tiktok.com/@nachter/video/7357337111676079392?_r=1&_t=ZN-93r9JxE2rN0","false",,,"false",,"0","https://www.tiktok.com/@nachter/video/7357337111676079392?_r=1&_t=ZN-93r9JxE2rN0","Lo gracioso es que soy del 2000 y me hace gracia de que tengo la actitud del 70-80","7040950803666093061","crisfrqnco.31","https://www.tiktok.com/@nachter/video/7357337111676079392"
"https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/9198feec17a04ecf8dd6f143dda61e2e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=173837b9&x-expires=1771329600&x-signature=%2FXvcDsBTf3qAnsKkyAlEmltcQg8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7358451073265435434","1713272948","2024-04-16T13:09:08.000Z",,,,,,,,,"1","https://www.tiktok.com/@nachter/video/7357337111676079392?_r=1&_t=ZN-93r9JxE2rN0","false",,,"false",,"0","https://www.tiktok.com/@nachter/video/7357337111676079392?_r=1&_t=ZN-93r9JxE2rN0","Es totalmente cierto!!! Ojalá todos fuéramos donantes y ayudar a las personas que lo necesitan!!","7048653826731082758","markym2022","https://www.tiktok.com/@nachter/video/7357337111676079392"
"https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/5831ab3d29d47918575cc8cce48264a6~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=dc3f1a26&x-expires=1771329600&x-signature=e0c2AEtO5OiySfulyd9HmHlYWjI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7358166339469984517","1713206625","2024-04-15T18:43:45.000Z",,,,,,,,,"0","https://www.tiktok.com/@nachter/video/7357337111676079392?_r=1&_t=ZN-93r9JxE2rN0","false",,,"false",,"0","https://www.tiktok.com/@nachter/video/7357337111676079392?_r=1&_t=ZN-93r9JxE2rN0","Y recuerden q es un beneficio también para el donante pues hará sangre nueva y eso es sano para todos los órganos y la piel","6955822191108260870","o.tu.o.ninguna","https://www.tiktok.com/@nachter/video/7357337111676079392"
"https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/a21991da642a256e65d45d340eeda590~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d9a5c7b8&x-expires=1771329600&x-signature=WFmxeYVbRWlYkXJ0TkNpBlO7ZrE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7357342510249657121","1713014826","2024-04-13T13:27:06.000Z",,,,,,,,,"1","https://www.tiktok.com/@nachter/video/7357337111676079392?_r=1&_t=ZN-93r9JxE2rN0","false",,,"false",,"1","https://www.tiktok.com/@nachter/video/7357337111676079392?_r=1&_t=ZN-93r9JxE2rN0","dónde puedo donar??","6808564219211793414","yeral._.333","https://www.tiktok.com/@nachter/video/7357337111676079392"
"https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/8234f8295b38302ea3e0af2ba7104936~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9d9ec0f6&x-expires=1771329600&x-signature=jttx4x58MF9fhGBVFF3lJZ7jfc8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7366810744862851846","1715219308","2024-05-09T01:48:28.000Z",,,,,,,,,"0","https://www.tiktok.com/@nachter/video/7357337111676079392?_r=1&_t=ZN-93r9JxE2rN0","false",,,"false",,"0","https://www.tiktok.com/@nachter/video/7357337111676079392?_r=1&_t=ZN-93r9JxE2rN0","Gracias a las donaciones de Sangre estoy viva. Gracias por salvar vidas chicos 💕","6976774009690424326","carmenmorales352","https://www.tiktok.com/@nachter/video/7357337111676079392"
"https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/6b0e50aceb75e24ee803cf77c02127e0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=67e075cd&x-expires=1771329600&x-signature=Sl0scHpx1yZSoO6TsCFHusog7xg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7357386210040480517","1713024980","2024-04-13T16:16:20.000Z",,,,,,,,,"0","https://www.tiktok.com/@nachter/video/7357337111676079392?_r=1&_t=ZN-93r9JxE2rN0","false",,,"false",,"0","https://www.tiktok.com/@nachter/video/7357337111676079392?_r=1&_t=ZN-93r9JxE2rN0","Te faltó decir que los 2010 que cobrar jsjsjs","7137124454304007174","leonelvazquez871","https://www.tiktok.com/@nachter/video/7357337111676079392"
"https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/f7699e7e97c9ac932d60e29f4174a88d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=92d46821&x-expires=1771329600&x-signature=FLZIS5XN2WLZbp%2FfoYLaCMI9QZg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7357953184473891590","1713156989","2024-04-15T04:56:29.000Z",,,,,,,,,"0","https://www.tiktok.com/@nachter/video/7357337111676079392?_r=1&_t=ZN-93r9JxE2rN0","false",,,"false",,"0","https://www.tiktok.com/@nachter/video/7357337111676079392?_r=1&_t=ZN-93r9JxE2rN0","yo quiero pero me dicen que no puedo porque no peso de 55 para arriba😔","7121917256870724614","user_mis_dam83595","https://www.tiktok.com/@nachter/video/7357337111676079392"
