tweet_id,created_at,text,lang,retweet_count,reply_count,like_count,quote_count,author_id,author_username,author_name,author_location,place_full_name,place_country,place_country_code,place_type,reply_to_tweet_id
2003456693720781170,2025-12-23T13:24:32.000Z,cada vez que veo una persona anti vacunas pienso  automaticamente que  la razon por la que quieren prohibir las vacunas es porque le tienen miedo a las agujas https://t.co/JfWRpKDYuT,es,64,19,897,1,1717933401368399872,HORMIGA_RETURNS,Una hormiga que mira tu post 🐜,in your walls,,,,,
1873080547309961526,2024-12-28T18:56:17.000Z,NO QUIERO DONAR ESQUIZOFRÉNICA PERO SKZ CREO QUE SKZ NO TIENE NINGUN TEMA QUE EMPIECE CON P Y ESO ME ESTA PONIENDO NERVIOSA,es,0,11,16,7,1074163129968443392,mindonsatur,min ✧*。!!!,she/her  ,,,,,
1608928985169428480,2022-12-30T20:52:17.000Z,Ahorita una doña gritó al cajero NO NO QUIERO DONAR,es,0,5,34,0,1007659532,soysnoopylover,Natalia de Jesús,,,,,,
1608587638461829120,2022-12-29T22:15:53.000Z,oye ahora q lo pienso no puedo donar sangre xq soy un drogadicto y tengo 54 enfermedades pero médula? podría donar médula un drogadicto con 54 enfermedades o tampoco?,es,0,4,10,0,1498742264075628544,mmmsobacos,larry,él // 26,,,,,
2001587272815198376,2025-12-18T09:36:08.000Z,A mí esto me da mucha pena cómo me vas a decir que no puedo donar sangre porque peso poco cuando soy donante universal (0-) y siempre están buscando gente de ese grupo sanguíneo… https://t.co/qNcZMFO3zV,es,0,4,8,0,1574358307908755462,coeliachoe,ժׁׅ݊áꪀׁׅɑׁׅ֮ꫀׁׅܻ˚༺💗༻🫧🇮🇨,"Canarias, África🇮🇨🫶🏻",,,,,
1741456392303636698,2023-12-31T13:48:53.000Z,"@ana_grimbaum Es fácil tirar abajo ese relato.
""No puedo donar de mi sueldo, tengo un estilo de vida que matener"" Luis Alberto Alejandro Aparicio Lacalle Pou. 
José Mujica dona 400.000 dólares de su sueldo para el Plan Juntos y unos 150.000 dólares para su fuerza política. Los del Taba +++",es,0,4,3,0,1443961428231217164,Graldelpueblo,General del Pueblo,Canelones,,,,,
2026347698165596170,2026-02-24T17:25:13.000Z,"SEGUNDO PINCHAZO DEL DÍA,  MI MUESTRA SE COAGULÓ ASI QUE ME SACARON OTRA 😭😭(,LE TENGO FOBIA A LAS AGUJAS asi que me hiperventilé x2) https://t.co/aD39mWd6rC https://t.co/Zi0nyj9Zgu",es,1,3,41,0,1400302893400473602,CRUNCH_LINERS,LINERS |ANIMACION| (comisiones abiertas),San Luis - arg,,,,,
2029241288072081458,2026-03-04T17:03:19.000Z,"Soy O- y simplemente no puedo donar sangre a nadie porque mi peso es de 40 kilos.

Conseguir donantes de sangre en un país donde la desnutrición está normalizada, eso es un reto. https://t.co/T33RbPmH2Q",es,24,3,20,0,1884721776418316290,ArepitaLigera,Ni tan Rosa,,,,,,
2029005036265554135,2026-03-04T01:24:32.000Z,"SUELTENME, YA NO QUIERO DONAR SUBS Y ME OBLIGAN MINIMO 5 POR STREAM😭😭 https://t.co/x7xkxGrYVW",es,0,3,9,0,1023736264380637189,bea28louis,bea 𓂀,333 chile,,,,,
1741044178035859889,2023-12-30T10:30:53.000Z,"IVI Dono ayer me dio la triste noticia de que, pese a tener rasgos caucásicos™, no puedo donar semen porque mi padre es ecuatoriano y, ya sabéis, mezcla de razas. Se cierra un arco que nunca despegó 🚬🧠",es,2,3,7,0,469236739,vizepto,Vizote,,,,,,
