tweet_id,created_at,text,lang,retweet_count,reply_count,like_count,quote_count,author_id,author_username,author_name,author_location,place_full_name,place_country,place_country_code,place_type,reply_to_tweet_id,_origen,fuente,text_clean,emojis,fecha,likes,respuestas
2029146177522831608,2026-03-04 10:45:23+00:00,"Donación de sangre @LevanteUD

🗓️ Jueves #5marzo 
⏰ 9:30-14:00 ⏰16:00 a 20:30h
📍 Palco VIP - Ciutat de València

🎁 Entrarás en el sorteo de: 250 entradas para el Levante UD-Girona CF y 6 Experiencias VIP en la Sala Túnel.

¡Te esperamos! 🐸💙❤️ https://t.co/BXnbfg2c4L",es,0,0,0,0,98612851,GVAdonasang,GVA Dona Sang,Comunitat Valenciana,,,,,,twitter_donacion_sangre_es.csv,twitter,Donación de sangre @LevanteUD Jueves #5marzo ⏰ 9:30-14:00 ⏰16:00 a 20:30h Palco VIP - Ciutat de València Entrarás en el sorteo de: 250 entradas para el Levante UD-Girona CF y 6 Experiencias VIP en la Sala Túnel. ¡Te esperamos! https://t.co/BXnbfg2c4L,🗓️ 📍 🎁 🐸💙❤️,2026-03-04,0,0
2029142615556239657,2026-03-04 10:31:13+00:00,"❤️ Ser solidario está en tu mano. ¡Ven a donar sangre!
Te esperamos en:
📍 CPEIPS Salesianos – Las Palmas de Gran Canaria
🗓 5 al 6 de marzo
⏰ 14:45 a 20:00 h.

#DonaSangre #RegalaVida
ℹ️ https://t.co/ipllnNdgP3 | ☎️ 900 234 061 https://t.co/zlQnW6yc4r",es,0,0,0,0,174643603,ichhCanarias,donarsangreCanarias,Islas Canarias,,,,,,twitter_donacion_sangre_es.csv,twitter,Ser solidario está en tu mano. ¡Ven a donar sangre! Te esperamos en: CPEIPS Salesianos – Las Palmas de Gran Canaria 5 al 6 de marzo ⏰ 14:45 a 20:00 h. #DonaSangre #RegalaVida ℹ https://t.co/ipllnNdgP3 | 900 234 061 https://t.co/zlQnW6yc4r,❤️ 📍 🗓 ️ ☎️,2026-03-04,0,0
2029135762302673405,2026-03-04 10:03:59+00:00,"La primavera empieza en ti. Dona sangre, dona vida. 🌱🩸

Marzo es renacer: vuelven la luz, las flores… y las ganas de empezar de nuevo.
Donar sangre es ese impulso de vida que permite que otras vidas sigan creciendo.

¿Te sumas este mes?
ℹ https://t.co/ZpQR7LZ2ey https://t.co/drrfGHveco",es,0,0,0,0,2375267563,donaasturias,Donaasturias · Donación de Sangre Asturias,Asturias,,,,,,twitter_donacion_sangre_es.csv,twitter,"La primavera empieza en ti. Dona sangre, dona vida. Marzo es renacer: vuelven la luz, las flores… y las ganas de empezar de nuevo. Donar sangre es ese impulso de vida que permite que otras vidas sigan creciendo. ¿Te sumas este mes? ℹ https://t.co/ZpQR7LZ2ey https://t.co/drrfGHveco",🌱🩸,2026-03-04,0,0
2029133876031869327,2026-03-04 09:56:30+00:00,"@Radio_Formula Nada más se andan envenenando, pues los tatuajes tiene plomo que se va a la sangre y dicen que por mucho tiempo lo que genera problemas de riñones y de hígado  por eso muchas veces no pueden donar sangre",es,0,1,0,0,1759987152970977281,Manriquela7q,Mandrea,,,,,,,twitter_donacion_sangre_es.csv,twitter,"@Radio_Formula Nada más se andan envenenando, pues los tatuajes tiene plomo que se va a la sangre y dicen que por mucho tiempo lo que genera problemas de riñones y de hígado por eso muchas veces no pueden donar sangre",,2026-03-04,0,1
2029131838996849093,2026-03-04 09:48:24+00:00,Desde Salud impulsan la donación de sangre en los hospitales nacionales y SAMIC https://t.co/WRdHjaWHeQ,es,0,0,0,0,748872794318987264,Inforbanodiario,INFORBANO,,,,,,,twitter_donacion_sangre_es.csv,twitter,Desde Salud impulsan la donación de sangre en los hospitales nacionales y SAMIC https://t.co/WRdHjaWHeQ,,2026-03-04,0,0
2029122208375750703,2026-03-04 09:10:08+00:00,"#Victoria Realizan intensas campañas de donación de sangre en Tamaulipas - https://t.co/i6iPr2H5h0
#OptimusInformativo #Noticias #País #México #Tamaulipas #CdVictoria https://t.co/r4NYtttBrq",es,0,0,0,0,216564258,optimusinforma,optimus informativo,"Matamoros, Tamaulipas , Mex",,,,,,twitter_donacion_sangre_es.csv,twitter,#Victoria Realizan intensas campañas de donación de sangre en Tamaulipas - https://t.co/i6iPr2H5h0 #OptimusInformativo #Noticias #País #México #Tamaulipas #CdVictoria https://t.co/r4NYtttBrq,,2026-03-04,0,0
2029120270024286336,2026-03-04 09:02:26+00:00,"El aparcamiento es gratuito en los puntos fijos de Sevilla capital.
https://t.co/cs93sL4fHn",es,0,0,0,0,491567289,AIONSur,AION SUR,Andalucía,,,,,,twitter_donacion_sangre_es.csv,twitter,El aparcamiento es gratuito en los puntos fijos de Sevilla capital. https://t.co/cs93sL4fHn,,2026-03-04,0,0
2029120191758532907,2026-03-04 09:02:07+00:00,"𝗔𝗖𝗧𝗨𝗔𝗟𝗜𝗗𝗔𝗗 |
El próximo viernes 6 de marzo, coincidiendo con el Besamanos a Ntro. Padre Jesús Cautivo, tendrá lugar la campaña de donación de sangre, organizada por la Vocalía de Acción Social. 

🗓️ 6 de marzo.
📌Espacio ciudadano ""Los Alambres""
🕔 17:00 a 21:00. https://t.co/Dzp2EJ5vng",es,5,0,15,0,287583538,hdadstagenoveva,Santa Genoveva,"Sevilla, España",,,,,,twitter_donacion_sangre_es.csv,twitter,"| El próximo viernes 6 de marzo, coincidiendo con el Besamanos a Ntro. Padre Jesús Cautivo, tendrá lugar la campaña de donación de sangre, organizada por la Vocalía de Acción Social. 6 de marzo. Espacio ciudadano ""Los Alambres"" 17:00 a 21:00. https://t.co/Dzp2EJ5vng",𝗔𝗖𝗧𝗨𝗔𝗟𝗜𝗗𝗔𝗗 🗓️ 📌 🕔,2026-03-04,15,0
2029119046155751514,2026-03-04 08:57:34+00:00,"LA HERMANDAD VISITA OSSA de MONTIEL.

Donación de sangre en OSSA de MONTIEL el jueves 5 de marzo, de 17:30 a 20:30 horas en CENTRO de SALUD.

Gracias DONANTE, TÚ lo haces posible...
@SanidadCLM 
@ossademontiel https://t.co/gkd78Ic3aZ",es,0,0,1,0,756083397781577728,DonanteAlbacete,Hermandad de Donantes de Sangre Albacete,"Albacete, España",,,,,,twitter_donacion_sangre_es.csv,twitter,"LA HERMANDAD VISITA OSSA de MONTIEL. Donación de sangre en OSSA de MONTIEL el jueves 5 de marzo, de 17:30 a 20:30 horas en CENTRO de SALUD. Gracias DONANTE, TÚ lo haces posible... @SanidadCLM @ossademontiel https://t.co/gkd78Ic3aZ",,2026-03-04,1,0
2029115031632167141,2026-03-04 08:41:37+00:00,@USEmbassyMEX @CruzRoja_MX Será usada para la guerra? Es extraño que la embajada de usa invite a donar sangre.,es,0,0,0,0,2382969312,celmoveplan,Núcleo = origen.,De jupiter pero voy a Marte.,,,,,,twitter_donacion_sangre_es.csv,twitter,@USEmbassyMEX @CruzRoja_MX Será usada para la guerra? Es extraño que la embajada de usa invite a donar sangre.,,2026-03-04,0,0
